"","city","country","capital","faircourt","safe","break","workdis","trust","corruption","freedom","bribe","houdem","busfine","govopen","lawful","citypop","share"
"1","Aarhus","Denmark",0,0.61,0.89,0.14,0.11,0.783333333333333,0.925,0.875833333333333,0.07,0.775,0.83,0.565,0.8325,326.676,0.0599332814864105
"2","Amsterdam","Netherlands",1,0.76,0.83,0.13,0.21,0.583333333333333,0.8675,0.900833333333333,0.042,0.905,0.775,0.465,0.825,848.861,0.051472759144869
"3","Antwerp","Belgium",0,0.42,0.66,0.15,0.18,0.513333333333333,0.83,0.794166666666667,0.064,0.795,0.74,0.445,0.8275,510.61,0.0491961368011209
"4","Athens","Greece",1,0.5,0.44,0.17,0.28,0.476666666666667,0.675,0.669166666666667,0.39,0.82,0.91,0.2,0.6775,664.046,0.062129715239195
"5","Barcelona","Spain",0,0.32,0.68,0.12,0.32,0.483333333333333,0.725,0.6975,0.038,0.89,0.815,0.455,0.7525,1608.746,0.0398225727007893
"6","Berlin","Germany",1,0.52,0.65,0.12,0.23,0.546666666666667,0.8075,0.814166666666667,0.074,0.815,0.79,0.385,0.7675,3670.999,0.0445389056667784
"7","Birmingham","United Kingdom",0,0.51,0.72,0.13,0.18,0.55,0.8025,0.84,0.054,0.69,0.805,0.52,0.835,1111.307,0.0183356299336505
"8","Braga","Portugal",0,0.43,0.79,0.17,0.29,0.593333333333333,0.7125,0.768333333333333,0.202,0.78,0.835,0.525,0.775,181.494,0.0171125989664214
"9","Brno","Czech Republic",0,0.49,0.68,0.15,0.25,0.556666666666667,0.7025,0.766666666666667,0.072,0.805,0.86,0.255,0.755,378.327,0.0369624017691446
"10","Brusssels","Belgium",1,0.41,0.45,0.22,0.29,0.546666666666667,0.69,0.755,0.19,0.76,0.74,0.335,0.805,1175.173,0.113225302428436
"11","Bucharest","Romania",1,0.48,0.5,0.05,0.16,0.546666666666667,0.565,0.676666666666667,0.336,0.725,0.745,0.35,0.6375,2106.144,0.0944308780951124
"12","Budapest","Hungary",1,0.55,0.72,0.12,0.12,0.653333333333333,0.65,0.698333333333333,0.166,0.655,0.93,0.52,0.6775,1759.407,0.176269725068813
"13","Celje","Slovenia",0,0.44,0.67,0.06,0.15,0.446666666666667,0.3475,0.5625,0.36,0.39,0.74,0.3,0.56,37.54,0.0186733932002784
"14","Charleroi","Belgium",0,0.43,0.44,0.16,0.18,0.513333333333333,0.7975,0.716666666666667,0.064,0.82,0.73,0.365,0.835,202.182,0.0194797856107876
"15","Cluj-Napoca","Romania",0,0.47,0.65,0.05,0.19,0.506666666666667,0.635,0.709166666666667,0.264,0.75,0.805,0.345,0.6075,324.576,0.0145526595943104
"16","Copenhagen","Denmark",1,0.59,0.84,0.15,0.12,0.773333333333333,0.9225,0.893333333333333,0.04,0.79,0.865,0.56,0.8325,583.348,0.107023350012044
"17","Cracow","Poland",0,0.45,0.94,0,0.01,0.33,0.4375,0.685833333333333,0.29,0.735,0.855,0.2,0.56,762.448,0.0197848974186253
"18","Debrecen","Hungary",0,0.48,0.77,0.11,0.09,0.783333333333333,0.745,0.783333333333333,0.16,0.555,0.905,0.675,0.755,203.059,0.020343873874975
"19","Espoo","Finland",0,0.28,0.94,0.09,0.14,0.823333333333333,0.9,0.8725,0.024,0.68,0.91,0.4,0.8225,270.416,0.0516912198176692
"20","Ghent","Belgium",0,0.49,0.64,0.12,0.13,0.56,0.86,0.805833333333333,0.062,0.775,0.755,0.5,0.805,257.029,0.0247641719626629
"21","Glasgow","United Kingdom",0,0.54,0.78,0.06,0.16,0.506666666666667,0.7975,0.845,0.048,0.83,0.745,0.51,0.8175,606.34,0.0100040995458227
"22","Goteborg","Sweden",0,0.44,0.77,0.1,0.15,0.676666666666667,0.8625,0.881666666666667,0.028,0.665,0.805,0.37,0.8225,541.145,0.0600165517008858
"23","Graz","Austria",0,0.59,0.82,0.06,0.11,0.666666666666667,0.8275,0.851666666666667,0.018,0.745,0.88,0.415,0.8625,280.2,0.0342004276884319
"24","Hamburg","Germany",0,0.52,0.71,0.12,0.22,0.59,0.805,0.835,0.08,0.83,0.775,0.43,0.7875,1787.408,0.0216859760245222
"25","Helsinki","Finland",1,0.36,0.84,0.1,0.22,0.79,0.885,0.839166666666667,0.064,0.645,0.85,0.39,0.8225,630.752,0.120571047136392
"26","Iasi","Romania",0,0.52,0.35,0.01,0.16,0.493333333333333,0.6,0.7,0.294,0.8,0.765,0.175,0.525,362.142,0.0162369653048985
"27","Linz","Austria",0,0.47,0.83,0.07,0.12,0.696666666666667,0.78,0.838333333333333,0.014,0.765,0.92,0.485,0.8475,200.839,0.0245138461688686
"28","Lisbon","Portugal",1,0.36,0.65,0.09,0.33,0.573333333333333,0.7575,0.758333333333333,0.082,0.74,0.82,0.34,0.7725,547.631,0.0516347079494657
"29","Ljubljana","Slovenia",1,0.67,0.62,0.11,0.19,0.49,0.5025,0.643333333333333,0.316,0.63,0.695,0.4,0.645,279.756,0.139158065746859
"30","Lodz","Poland",0,0.58,0.21,0.01,0.02,0.37,0.5025,0.615833333333333,0.288,0.78,0.81,0.575,0.6175,698.688,0.0181303779505284
"31","London","United Kingdom",1,0.59,0.68,0.11,0.27,0.553333333333333,0.795,0.825,0.08,0.74,0.775,0.565,0.8025,8673.713,0.143108962436746
"32","Lyon","France",0,0.4,0.71,0.12,0.2,0.56,0.815,0.789166666666667,0.018,0.82,0.735,0.435,0.79,491.268,0.00806996028788687
"33","Madrid","Spain",1,0.37,0.7,0.08,0.35,0.49,0.735,0.699166666666667,0.048,0.87,0.8,0.39,0.795,3141.991,0.0777762089371011
"34","Malmo","Sweden",0,0.5,0.71,0.12,0.24,0.663333333333333,0.8775,0.871666666666667,0.014,0.69,0.765,0.355,0.785,321.97,0.0357085977901195
"35","Maribor","Slovenia",0,0.57,0.66,0.11,0.16,0.433333333333333,0.495,0.608333333333333,0.31,0.495,0.72,0.415,0.62,95.881,0.0476937563515154
"36","Marseille","France",0,0.38,0.5,0.22,0.21,0.436666666666667,0.72,0.720833333333333,0.06,0.87,0.74,0.255,0.79,852.516,0.0140041082765174
"37","Milan","Italy",0,0.4,0.45,0.19,0.29,0.5,0.6725,0.665833333333333,0.08,0.825,0.71,0.315,0.705,1350.387,0.0232290639809821
"38","Miskolc","Hungary",0,0.69,0.68,0.19,0.18,0.753333333333333,0.8125,0.853333333333333,0.102,0.695,0.94,0.635,0.6925,158.101,0.0158396663211551
"39","Munich","Germany",0,0.47,0.83,0.08,0.22,0.583333333333333,0.8,0.826666666666667,0.062,0.785,0.8,0.5,0.755,1542.86,0.0187189634203239
"40","Naples","Italy",0,0.46,0.32,0.13,0.29,0.426666666666667,0.5825,0.660833333333333,0.136,0.865,0.695,0.27,0.67,972.638,0.0167311076990037
"41","Narva","Estonia",0,0.57,0.37,0.17,0.29,0.44,0.6425,0.628333333333333,0.084,0.815,0.905,0.11,0.7725,58.375,0.0440787928715814
"42","Odense","Denmark",0,0.56,0.89,0.11,0.13,0.773333333333333,0.95,0.8875,0.036,0.735,0.85,0.585,0.86,175.245,0.0321511464389365
"43","Ostrava","Czech Republic",0,0.45,0.5,0.22,0.3,0.53,0.68,0.735833333333333,0.104,0.785,0.88,0.27,0.765,294.2,0.0287432263636546
"44","Paris","France",1,0.43,0.69,0.1,0.19,0.523333333333333,0.765,0.791666666666667,0.056,0.8,0.715,0.41,0.7975,2244,0.0368617351140683
"45","Patras","Greece",0,0.5,0.5,0.18,0.22,0.586666666666667,0.7325,0.725,0.36,0.8,0.945,0.195,0.7025,260.308,0.0243550325045018
"46","Plovdiv","Bulgaria",0,0.37,0.76,0.07,0.2,0.356666666666667,0.3875,0.753333333333333,0.418,0.785,0.865,0.34,0.5925,341.625,0.0462570106536344
"47","Porto","Portugal",0,0.42,0.73,0.12,0.34,0.553333333333333,0.7,0.751666666666667,0.174,0.76,0.82,0.415,0.7675,287.591,0.0271162101741771
"48","Prague","Czech Republic",1,0.46,0.61,0.22,0.29,0.54,0.69,0.76,0.086,0.84,0.84,0.285,0.765,1267.449,0.12382927774095
"49","Rijeka","Croatia",0,0.34,0.91,0.02,0.07,0.293333333333333,0.4725,0.626666666666667,0.394,0.655,0.8,0.215,0.6125,128.624,0.0286165033909569
"50","Rome","Italy",1,0.41,0.45,0.19,0.34,0.456666666666667,0.63,0.661666666666667,0.09,0.855,0.74,0.23,0.71,2870.336,0.0493748966710404
"51","Rotterdam","Netherlands",0,0.73,0.73,0.11,0.24,0.563333333333333,0.8925,0.876666666666667,0.056,0.905,0.785,0.46,0.835,638.221,0.0387000884882182
"52","Salonica","Greece",0,0.45,0.54,0.13,0.12,0.573333333333333,0.73,0.773333333333333,0.42,0.79,0.945,0.28,0.695,325.182,0.0304247974702233
"53","Sofia","Bulgaria",1,0.31,0.45,0.12,0.16,0.286666666666667,0.3025,0.6675,0.466,0.73,0.85,0.295,0.5325,1260.12,0.170623883687838
"54","Split","Croatia",0,0.36,0.94,0.03,0.05,0.243333333333333,0.4425,0.6325,0.348,0.67,0.765,0.255,0.6225,178.102,0.0396244595638155
"55","Stockholm","Sweden",1,0.44,0.81,0.11,0.19,0.676666666666667,0.89,0.885833333333333,0.03,0.735,0.815,0.405,0.84,925.934,0.102692191155066
"56","Szeged","Hungary",0,0.46,0.57,0.04,0.05,0.543333333333333,0.4975,0.508333333333333,0.24,0.7,0.945,0.42,0.71,162.621,0.0162925116021566
"57","Tallinn","Estonia",0,0.54,0.68,0.16,0.21,0.65,0.8,0.7675,0.074,0.72,0.88,0.275,0.8325,444.085,0.335327293059978
"58","Tampere","Finland",0,0.32,0.84,0.08,0.21,0.803333333333333,0.8875,0.836666666666667,0.06,0.61,0.865,0.35,0.8225,224.485,0.0429113051031355
"59","Tartu","Estonia",0,0.57,0.77,0.14,0.21,0.736666666666667,0.8575,0.804166666666667,0.054,0.68,0.885,0.46,0.85,93.687,0.0707427814605541
"60","The Hague","Netherlands",0,0.76,0.75,0.15,0.2,0.61,0.8975,0.9025,0.052,0.91,0.785,0.44,0.8275,524.305,0.0317925137136122
"61","Thessaloniki","Greece",0,0.5,0.67,0.14,0.34,0.466666666666667,0.675,0.628333333333333,0.278,0.85,0.895,0.325,0.75,325.182,0.0304247974702233
"62","Timisoara","Romania",0,0.42,0.52,0.12,0.24,0.48,0.5675,0.660833333333333,0.306,0.745,0.88,0.385,0.645,319.279,0.0143151637909513
"63","Turku","Finland",0,0.34,0.77,0.1,0.2,0.766666666666667,0.8825,0.824166666666667,0.058,0.565,0.83,0.31,0.815,186.03,0.0355604610033467
"64","Valencia","Spain",0,0.35,0.75,0.11,0.4,0.566666666666667,0.715,0.7175,0.064,0.875,0.83,0.36,0.7825,786.189,0.0194611632967919
"65","Varna","Bulgaria",0,0.6,0.61,0.07,0.16,0.623333333333333,0.795,0.838333333333333,0.344,0.94,0.985,0.515,0.795,334.466,0.0452876613985466
"66","Warsaw","Poland",1,0.62,0.76,0.01,0.05,0.46,0.535,0.619166666666667,0.284,0.85,0.92,0.375,0.575,1748.916,0.0453829292670352
"67","Vienna","Austria",1,0.6,0.77,0.13,0.2,0.66,0.8275,0.851666666666667,0.038,0.79,0.9,0.41,0.855,1867.96,0.227997968968177
"68","Vila Nova de Gaia","Portugal",0,0.39,0.73,0.08,0.35,0.606666666666667,0.7575,0.7425,0.102,0.765,0.765,0.31,0.77,302.295,0.0285026122326598
"69","Zagreb","Croatia",1,0.32,0.92,0.01,0.05,0.266666666666667,0.425,0.626666666666667,0.3,0.685,0.81,0.26,0.6075,790.017,0.175764430894806
